event_id,session_id,student_id,timestamp,status,section_id,timetable_id,room_id,date,week_number,opened_by_staff_id,start_time,end_time,course_code,staff_id,semester,capacity,course_name,credit_hours,department,name,email,year_level,department_stu
EVT0000001,SESS00001,STU00006,2026-09-10 11:08:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Kirollos Samir,student6@bua.edu.eg,2,Data Science
EVT0000002,SESS00001,STU00009,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Attia,student9@bua.edu.eg,1,Data Science
EVT0000003,SESS00001,STU00011,2026-09-10 11:00:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Mostafa Ghaly,student11@bua.edu.eg,1,Data Science
EVT0000004,SESS00001,STU00018,2026-09-10 11:11:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hassan Ibrahim,student18@bua.edu.eg,2,AI Engineering
EVT0000005,SESS00001,STU00020,2026-09-10 11:11:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Yara Attia,student20@bua.edu.eg,1,Computer Science
EVT0000006,SESS00001,STU00023,2026-09-10 11:00:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Malak Fathy,student23@bua.edu.eg,3,AI Engineering
EVT0000007,SESS00001,STU00024,2026-09-10 11:09:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nada Gerges,student24@bua.edu.eg,3,Data Science
EVT0000008,SESS00001,STU00026,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Ghaly,student26@bua.edu.eg,3,Information Systems
EVT0000009,SESS00001,STU00029,,rejected_expired,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Nasser,student29@bua.edu.eg,3,Computer Science
EVT0000010,SESS00001,STU00030,2026-09-10 11:22:00,late,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Rizk,student30@bua.edu.eg,1,AI Engineering
EVT0000011,SESS00001,STU00042,2026-09-10 11:03:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Ibrahim,student42@bua.edu.eg,4,AI Engineering
EVT0000012,SESS00001,STU00047,2026-09-10 11:20:00,late,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Anwar,student47@bua.edu.eg,1,Information Systems
EVT0000013,SESS00001,STU00049,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Nour Rizk,student49@bua.edu.eg,3,Information Systems
EVT0000014,SESS00001,STU00050,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,George Ghaly,student50@bua.edu.eg,4,Data Science
EVT0000015,SESS00001,STU00053,2026-09-10 11:09:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Dina Hanna,student53@bua.edu.eg,3,AI Engineering
EVT0000016,SESS00001,STU00057,2026-09-10 11:04:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Hana Fathy,student57@bua.edu.eg,4,Data Science
EVT0000017,SESS00001,STU00058,2026-09-10 11:08:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Farida Wahba,student58@bua.edu.eg,3,AI Engineering
EVT0000018,SESS00001,STU00060,2026-09-10 11:06:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Salma Kamel,student60@bua.edu.eg,3,Computer Science
EVT0000019,SESS00001,STU00062,2026-09-10 11:12:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fouad,student62@bua.edu.eg,2,AI Engineering
EVT0000020,SESS00001,STU00065,2026-09-10 10:57:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Ahmed Fouad,student65@bua.edu.eg,2,Information Systems
EVT0000021,SESS00001,STU00078,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Verina Attia,student78@bua.edu.eg,4,Information Systems
EVT0000022,SESS00001,STU00080,,absent,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Fady Samir,student80@bua.edu.eg,1,Computer Science
EVT0000023,SESS00001,STU00082,2026-09-10 11:08:00,present,ATT-S001,TT0001,R08,2026-09-10,1,STF010,11:00,12:30,ATT-C01,STF010,Fall 2026,35,Intro to Programming,3,Information Systems,Basel Fahmy,student82@bua.edu.eg,3,Data Science
