student_id,total_events,attendance_rate,late_rate,absent_count,name
STU00001,120,0.958,0.067,5,Salma Hanna
STU00002,120,0.567,0.017,43,Karim Nasser
STU00003,120,0.967,0.075,4,George Fahmy
STU00004,120,0.992,0.075,1,Dina Rizk
STU00005,80,0.85,0.062,7,Marina Adel
STU00006,100,0.88,0.08,11,Kirollos Samir
STU00007,120,0.975,0.05,3,Ahmed Nabil
STU00008,100,0.93,0.05,6,Mariam Mikhail
STU00009,120,0.8,0.067,18,Mostafa Attia
STU00010,120,0.908,0.05,10,Sara Ibrahim
STU00011,120,0.808,0.058,18,Mostafa Ghaly
STU00012,100,0.8,0.04,17,Karim Hanna
STU00013,100,0.83,0.06,15,George Rizk
STU00014,120,0.558,0.017,41,Tamer Mikhail
STU00015,120,0.358,0.025,66,Tamer Nabil
STU00016,80,0.762,0.062,19,Nour Nabil
STU00017,80,0.725,0.038,18,Peter Anwar
STU00018,120,0.842,0.05,18,Hassan Ibrahim
STU00019,100,0.71,0.05,23,Marina Rizk
STU00020,120,0.75,0.058,25,Yara Attia
STU00021,120,1.0,0.033,0,Yara Nabil
STU00022,120,0.533,0.058,53,Ahmed Fahmy
STU00023,120,0.842,0.058,13,Malak Fathy
STU00024,100,0.44,0.05,49,Nada Gerges
STU00025,80,0.788,0.025,17,Mostafa Fahmy
STU00026,120,0.883,0.058,12,Ahmed Ghaly
STU00027,120,0.742,0.075,26,Tamer Saad
STU00028,100,0.91,0.08,9,Ziad Gerges
STU00029,120,0.758,0.025,23,George Nasser
STU00030,100,0.73,0.07,23,Hana Rizk
STU00031,100,0.73,0.03,21,Mina Ghaly
STU00032,100,1.0,0.1,0,Hana Kamel
STU00033,80,0.875,0.025,9,Verina Fahmy
STU00034,120,0.733,0.058,27,Bishoy Fahmy
STU00035,120,0.892,0.033,10,Bishoy Fouad
STU00036,120,0.708,0.042,31,Fady Refaat
STU00037,100,0.63,0.08,31,Youssef Wahba
STU00038,100,0.6,0.01,31,Yara Rizk
STU00039,120,0.45,0.042,58,Omar Hanna
STU00040,80,0.888,0.05,8,Omar Gerges
STU00041,80,0.95,0.1,3,Fady Kamel
STU00042,100,0.93,0.03,6,Basel Ibrahim
STU00043,120,0.892,0.042,11,Marina Mikhail
STU00044,80,0.625,0.038,27,Mariam Gerges
STU00045,100,0.38,0.0,49,Yara Fahmy
STU00046,80,0.725,0.05,18,Rana Fathy
STU00047,120,0.808,0.058,19,Nour Anwar
STU00048,80,0.675,0.0,23,Tamer Fahmy
STU00049,100,0.54,0.02,39,Nour Rizk
STU00050,120,0.592,0.042,44,George Ghaly
STU00051,80,0.675,0.075,21,Amir Hanna
STU00052,100,0.86,0.02,13,Tamer Ibrahim
STU00053,120,0.817,0.1,20,Dina Hanna
STU00054,80,0.575,0.075,25,Reem Mikhail
STU00055,100,0.7,0.03,28,Kirollos Ibrahim
STU00056,80,1.0,0.075,0,Omar Nabil
STU00057,100,0.75,0.01,20,Hana Fathy
STU00058,80,0.812,0.05,13,Farida Wahba
STU00059,80,0.962,0.05,2,Youssef Rizk
STU00060,100,0.98,0.08,2,Salma Kamel
STU00061,120,0.8,0.067,21,Mohamed Adel
STU00062,120,0.892,0.042,10,Basel Fouad
STU00063,80,0.688,0.062,22,Farida Sobhy
STU00064,120,0.483,0.042,50,Farida Rizk
STU00065,100,0.93,0.03,6,Ahmed Fouad
STU00066,120,0.992,0.1,1,Youssef Attia
STU00067,80,0.862,0.038,9,Youssef Fahmy
STU00068,120,0.933,0.092,7,Farida Nasser
STU00069,80,0.65,0.012,23,Youssef Mikhail
STU00070,120,0.767,0.075,25,Mohamed Attia
