student_id,total_events,attendance_rate,late_rate,absent_count,name
STU00075,120,0.258,0.008,79,Andrew Rizk
STU00015,120,0.358,0.025,66,Tamer Nabil
STU00045,100,0.38,0.0,49,Yara Fahmy
STU00101,100,0.38,0.01,54,Dina Ghaly
STU00024,100,0.44,0.05,49,Nada Gerges
STU00039,120,0.45,0.042,58,Omar Hanna
STU00064,120,0.483,0.042,50,Farida Rizk
STU00085,120,0.508,0.008,49,Bishoy Anwar
STU00022,120,0.533,0.058,53,Ahmed Fahmy
STU00049,100,0.54,0.02,39,Nour Rizk
STU00091,120,0.55,0.025,46,Kirollos Saad
STU00014,120,0.558,0.017,41,Tamer Mikhail
STU00002,120,0.567,0.017,43,Karim Nasser
STU00054,80,0.575,0.075,25,Reem Mikhail
STU00071,120,0.583,0.05,41,Nada Saad
STU00096,80,0.588,0.038,27,Salma Fouad
STU00111,80,0.588,0.025,29,Mina Gerges
STU00050,120,0.592,0.042,44,George Ghaly
STU00038,100,0.6,0.01,31,Yara Rizk
STU00073,80,0.612,0.062,26,Reem Kamel
STU00044,80,0.625,0.038,27,Mariam Gerges
STU00080,120,0.625,0.033,37,Fady Samir
STU00037,100,0.63,0.08,31,Youssef Wahba
STU00069,80,0.65,0.012,23,Youssef Mikhail
STU00112,80,0.662,0.025,24,Ahmed Sobhy
STU00048,80,0.675,0.0,23,Tamer Fahmy
STU00051,80,0.675,0.075,21,Amir Hanna
STU00063,80,0.688,0.062,22,Farida Sobhy
STU00087,120,0.692,0.042,31,Dina Adel
STU00055,100,0.7,0.03,28,Kirollos Ibrahim
STU00036,120,0.708,0.042,31,Fady Refaat
STU00019,100,0.71,0.05,23,Marina Rizk
STU00046,80,0.725,0.05,18,Rana Fathy
STU00017,80,0.725,0.038,18,Peter Anwar
STU00031,100,0.73,0.03,21,Mina Ghaly
STU00030,100,0.73,0.07,23,Hana Rizk
STU00034,120,0.733,0.058,27,Bishoy Fahmy
STU00027,120,0.742,0.075,26,Tamer Saad
